ID,Severity,Category,Title,Component,Description,Evidence,Impact,Recommendation,Status
F-01,HIGH,Model Integrity,Phase 5B checkpoint DPE=1048 km inconsistent with Variant label,best_phase5b_variant_b.pt,Checkpoint labeled Variant B has val_mean_track_dpe=1048.57 km. Variant A benchmark is 189.71 km. Deployed checkpoint significantly underperforms the published result.,torch.load val_mean_track_dpe=1048.5696 12h=800.6km 24h=943.4km 48h=1401.7km,Production inference underperforms published benchmark by 5x. Misleading if Variant A result is presented.,Confirm whether Variant A checkpoint exists and use it for demo. Verify checkpoint file identity.,OPEN
F-02,MEDIUM,Data Leakage,Ground-truth fallback in get_forecast when predictions_lookup is empty,ml/forecast/api_contracts.py L154-159,When sample_id not in predictions_lookup fallback uses imd_lat_12h ground truth coordinates as forecast output. All 371 TEST samples are stored so no active TEST leakage. VALIDATION/TRAIN queries would silently leak.,api_contracts.py L154-159. All 371 TEST IDs confirmed present in predictions_lookup.,VALIDATION/TRAIN fallback presents ground truth as forecast without disclosure.,Add WARNING log and label response as FALLBACK_GROUND_TRUTH if fallback is triggered.,OPEN
F-03,MEDIUM,Model Performance,Phase 6 intensity classifier accuracy 25.1% — below persistence baseline,best_phase6_intensity_wind.pt,val_metrics: accuracy=0.2510 macro_f1=0.2006 per_class_f1=[0.255 0.167 0.368 0.158 0.218 0.238 0.0] Wind MAE=25.44kt. One class has zero F1.,Direct torch.load of Phase 6 checkpoint.,Evaluators misled if intensity predictions presented without disclaimers.,Dashboard must show explicit disclaimer that intensity classification is sub-persistence and experimental.,OPEN
F-04,MEDIUM,Deployment,Artifact source URLs are placeholder — cloud deployment will fail,artifacts/manifest.json,All 4 model source_url fields contain placeholder.vayu-net.gov.in fictional domain. Download script uses these URLs at Render build time.,manifest.json source_url contains placeholder.vayu-net.gov.in for all 4 model files.,Render deployment fails if download script runs without pre-populated storage.,Replace with real Supabase Storage URLs or disable download step until storage is provisioned.,OPEN
F-05,MEDIUM,Security,Default CORS_ORIGINS includes wildcard allowing any origin in local dev,apps/backend/main.py L47,Default CORS_ORIGINS env var includes * making all origins allowed unless explicitly overridden in production.,main.py L47: default string includes * confirmed.,Any website can make cross-origin requests during dev/CI.,Remove * from default CORS_ORIGINS. Require explicit opt-in.,OPEN
F-06,LOW,Data Integrity,Analog cache candidate split field is UNKNOWN — provenance untraceable from cache,data/interim/ml/analog_retrieval_cache.json,All 696 candidates have split=UNKNOWN. Cross-ref with storm manifest confirms all are TRAIN. Cache cannot self-certify split provenance.,cand_splits={UNKNOWN}. Storm manifest cross-ref: 81 distinct TRAIN storms.,Silent contamination possible if cache regenerated incorrectly.,Add split field to candidate entries. Add CI assertion that all candidates are TRAIN.,OPEN
F-07,LOW,Explainability,Grad-CAM target layer is spatial_encoder.layer2 not Phase 6 classifier head,explainability_manifest.json,target_layer=spatial_encoder.layer2 is inside the ResNet spatial encoder not the intensity classification output layer.,explainability_manifest.json target_layer confirmed. Phase 6 state dict has no CNN layer keys.,Saliency shows what spatial encoder attends to — not what intensity head decides. Scientifically valid but must be disclosed.,Document target layer in dashboard and label as intermediate representation visualization.,OPEN
F-08,LOW,Model Integrity,Phase 5B residuals show very high magnitudes (12h mean_mag=1702 km),best_phase5b_variant_b.pt,val_metrics.residuals: 12h mean_mag=1701.97km median=566.88km. 24h mean_mag=2811km. 48h mean_mag=4391km. p90 DPE=2133-3774km.,Direct checkpoint inspection val_metrics.residuals.,Uncertainty cone polygons at p90 would span implausible geographic extents and confuse evaluators.,Clip cone radii with geographic sanity bounds. Display only p80 cones in dashboard.,OPEN
F-09,INFO,Reproducibility,Phase 3C checkpoint shows only 2 epochs — possible training interruption,best_center_localization_cnn.pt,epoch=2 in checkpoint. val_mean_dpe_km=703.0. TEST DPE=810.3km. Low epoch may indicate early stop or interrupted run.,torch.load epoch=2 val_mean_dpe_km=703.0.,Cannot confirm full training convergence. TEST worse than VAL by 107km.,Document training curve and convergence in phase3c docs. Confirm patience was exhausted.,OPEN
F-10,INFO,Deployment,render.yaml buildCommand only checks artifacts not downloads them,render.yaml,buildCommand runs download_runtime_artifacts.py --check which only verifies presence. On clean Render instance with no storage weights are absent and check fails.,render.yaml buildCommand confirmed. Script --check flag verified.,Fresh cloud deployment will fail artifact check with no models present.,Change to run download (not --check) after fixing source URLs (F-04).,OPEN
F-11,INFO,Scientific Integrity,3 of 5 Grad-CAM demo cases are TEST split — should be labeled,explainability_manifest.json,FANI=VALIDATION AMPHAN=VALIDATION TAUKTAE=TEST BIPARJOY=TEST REMAL=TEST. No leakage risk (post-hoc). Should be disclosed.,explainability_manifest.json split fields confirmed.,No statistical leakage. Perception of cherry-picking if unlabeled.,Label split membership in dashboard for each Grad-CAM case.,OPEN
F-12,INFO,Deployment,vercel.json lacks installCommand — relies on Vercel default npm install,apps/frontend/vercel.json,No installCommand specified. If Node version constraints differ from Vercel default build may fail.,vercel.json confirmed: no installCommand field.,Frontend build may fail in CI on Vercel.,Add installCommand=npm ci and specify engines.node in package.json.,OPEN
