storm_name,year,dataset_split,audit_window_start,audit_window_end,satellite_source,dataset_id,archive_status,verified_file_count,archive_volume_gb,representative_granule,verification_classification,pairing_feasibility
FANI,2019,VALIDATION,2019-04-26,2019-05-04,INSAT-3D,3DIMG_L1C_ASIA_MER,AVAILABLE,359,7.55,3DIMG_04MAY2019_2330_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
FANI,2019,VALIDATION,2019-04-26,2019-05-04,INSAT-3DR,3RIMG_L1C_ASIA_MER,AVAILABLE,1698,10.48,3RIMG_04MAY2019_2345_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
FANI,2019,VALIDATION,2019-04-26,2019-05-04,INSAT-3DS,3SIMG_L1C_ASIA_MER,HTTP_500,0,0.0,NONE,NOT_SUITABLE (Pre-launch; 0% availability),IMPOSSIBLE (Physical constraint)
AMPHAN,2020,VALIDATION,2020-05-13,2020-05-20,INSAT-3D,3DIMG_L1C_ASIA_MER,AVAILABLE,368,7.81,3DIMG_20MAY2020_2330_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
AMPHAN,2020,VALIDATION,2020-05-13,2020-05-20,INSAT-3DR,3RIMG_L1C_ASIA_MER,AVAILABLE,1009,8.36,3RIMG_20MAY2020_2358_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
AMPHAN,2020,VALIDATION,2020-05-13,2020-05-20,INSAT-3DS,3SIMG_L1C_ASIA_MER,HTTP_500,0,0.0,NONE,NOT_SUITABLE (Pre-launch; 0% availability),IMPOSSIBLE (Physical constraint)
TAUKTAE,2021,TEST,2021-05-14,2021-05-19,INSAT-3D,3DIMG_L1C_ASIA_MER,AVAILABLE,274,5.96,3DIMG_19MAY2021_2330_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
TAUKTAE,2021,TEST,2021-05-14,2021-05-19,INSAT-3DR,3RIMG_L1C_ASIA_MER,AVAILABLE,1019,15.07,3RIMG_19MAY2021_2345_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
TAUKTAE,2021,TEST,2021-05-14,2021-05-19,INSAT-3DS,3SIMG_L1C_ASIA_MER,HTTP_500,0,0.0,NONE,NOT_SUITABLE (Pre-launch; 0% availability),IMPOSSIBLE (Physical constraint)
BIPARJOY,2023,TEST,2023-06-10,2023-06-16,INSAT-3D,3DIMG_L1C_ASIA_MER,AVAILABLE,323,6.98,3DIMG_16JUN2023_2330_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
BIPARJOY,2023,TEST,2023-06-10,2023-06-16,INSAT-3DR,3RIMG_L1C_ASIA_MER,AVAILABLE,1737,24.94,3RIMG_16JUN2023_2345_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
BIPARJOY,2023,TEST,2023-06-10,2023-06-16,INSAT-3DS,3SIMG_L1C_ASIA_MER,HTTP_500,0,0.0,NONE,NOT_SUITABLE (Pre-launch; 0% availability),IMPOSSIBLE (Physical constraint)
REMAL,2024,TEST,2024-05-24,2024-05-28,INSAT-3D,3DIMG_L1C_ASIA_MER,AVAILABLE,195,4.17,3DIMG_28MAY2024_2330_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
REMAL,2024,TEST,2024-05-24,2024-05-28,INSAT-3DR,3RIMG_L1C_ASIA_MER,AVAILABLE,717,11.39,3RIMG_28MAY2024_2345_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
REMAL,2024,TEST,2024-05-24,2024-05-28,INSAT-3DS,3SIMG_L1C_ASIA_MER,AVAILABLE,239,5.64,3SIMG_28MAY2024_2330_L1C_ASIA_MER_V01R00.h5,VERIFIED,HIGH (Direct synoptic alignment)
